iD,N,mu,T,m,q,C2,err
0,50,1.4,0.575,-0.27538799999999997,0.10814227760000002,21.554199560291842,2.8827129759523706
0,50,1.8,1.175,0.0030679999999999995,8.943760000000002e-05,5.284931563809982,0.17301541949982266
0,50,1.7,1.025,0.0009999999999999998,6.0951999999999995e-05,10.95689315382971,0.2166774700160964
0,50,0.3,0.95,0.0024999999999999996,0.0001242856,4.443709822488598,0.14745730011066355
0,50,0.4,1.025,0.0005759999999999998,0.00010054399999999999,3.235044203716618,0.15750340864542628
0,50,1.2,1.475,0.0009640000000000001,0.0001300232,1.8394100327207905,0.15638259719060996
0,50,1.9,1.7,0.003540000000000001,7.47496e-05,7.127549679247648,0.22957932500487196
0,50,0.3,2.0,-0.001768,8.785120000000002e-05,1.398033766543038,0.18599638399798776
0,50,0.6,1.25,0.0028079999999999993,0.00011081439999999997,2.043627892120588,0.1506040093115349
0,50,0.2,1.625,0.0012360000000000001,5.3620000000000005e-05,1.5340438923382087,0.1587717141081505
0,50,2.0,1.175,-0.09688000000000001,0.0097497232,27.875054429226495,0.6845161694093203
0,50,0.7,0.95,-0.0007600000000000002,5.8664000000000006e-05,4.776834577117282,0.15151932549716884
0,50,1.3,1.025,-0.0023759999999999996,3.82176e-05,10.53285089100918,0.2163817462648683
0,50,1.0,0.575,0.004764,6.4932e-05,17.400302615706586,0.42423597179371875
0,50,0.6,1.625,0.0014120000000000003,0.00010419440000000003,1.6522043371043873,0.16214136815098865
0,50,0.2,1.25,0.000656,8.48592e-05,2.2885859852210557,0.15314538176087292
0,50,0.7,2.0,0.0005759999999999998,0.00011215359999999998,1.311669792846891,0.18262825008620487
0,50,1.6,1.475,0.00604,0.0001805312,3.876106215198807,0.17760593832824048
0,50,0.5,0.725,-0.0008359999999999998,4.4589600000000004e-05,8.352459489625591,0.18489369933108005
0,50,1.2,0.95,0.004636,6.12536e-05,16.521266948805106,0.23368427242072953
0,50,0.5,1.175,0.002316,8.165680000000002e-05,1.9870112249505274,0.1426166255235023
0,50,0.3,1.7,-0.001472,9.682079999999999e-05,1.4249165704426086,0.1692618184355272
